
###################################################################################
Logfile created by ME7-Logger v1.20 (c) mki, 12/2010-07/2013

Used EcuDefinition file: 5120 032lp.ecu

ECU identified with following data:
HWNumber    = 0261207955       (requested was 0261207955)
SWNumber    = 1037366194       (requested was 1037366194)
PartNumber  = 06A906032LP      (requested was 06A906032LP)
SWVersion   = 0005             (requested was 0005)
EngineId    = 1.8L R4/5VT      (requested was 1.8L R4/5VT)
VAGHWNumber = 
ModelId     = G

Log packet size: 102 bytes
Logging with:    20 samples/second
Used speed is:   125000 baud
Used mode is:    HM0
Log started at:  16.07.2017 20:57:17.419

TimeStamp, mifa_w    , dmllri_w  , dwkrz_0   , dwkrz_1   , dwkrz_2   , dwkrz_3   , fr_w      , fra_w     , fzabgs_w  , gangi     , lambts_w  , lamfa_w   , lamfaw_w  , lamsbg_w  , lamsoni_w , lde       , ldimn_w   , ldimx_w   , ldimxa_0  , ldimxa_1  , ldimxa_2  , ldimxa_3  , ldimxa_4  , ldtvm     , ldtvr_w   , mdverl_w  , mrfa_w    , msdk_w    , mshfm_w   , nmot      , plgrus_w  , plsol     , plsolr_w  , ps_w      , pssol_w   , pvdks_w   , rkat_w    , rl_w      , rlmax_w   , rlmx_w    , rlsol_w   , tabgbts_w , tanslin   , te_w      , ti_b1     , tmot      , uhfm_w    , usvkk_w   , vfil_w    , wdkba     , wdks      , wkra_0    , wkrm      , wnwi_w    , wped      , wubr      , zwbasar_0 , zwbasar_1 , zwbasar_2 , zwbasar_3 , zwist     , zwout     , zwsol     
  sec.ms , , , °KW       , °KW       , °KW       , °KW       , -         , -         , #         , gear      , -         , -         , -         , -         , -         , mBar      , , , , , , , , , , , , g/s       , g/s       , rpm       , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , , , , , , °C        , °C        , ms        , ms        , °C        , V         , V         , km/h      , DK      , DK      , °KW       , °KW       , °KW       , PED     , V         , °KW       , °KW       , °KW       , °KW       , °KW       , °KW       , °KW       
"TIME","trq-TorqueDesired","IdleSpeedPID-I","IgnitionRetardCyl1","IgnitionRetardCyl4","IgnitionRetardCyl2","IgnitionRetardCyl3","LambdaControl","AdaptationPartial","CountMisfireTotal","SelectedGear","LambdaPartProtection","TargetAFRDriverRequest","","AirFuelRatioDesired","AirFuelRatioCurrent","","BoostPID-I-Min","BoostPID-I-Max","BoostCorrectFactorPID-IRange1","BoostCorrectFactorPID-IRange2","BoostCorrectFactorPID-IRange3","BoostCorrectFactorPID-IRange4","BoostCorrectFactorPID-IRange5","WastegateDutyCycle","WastegateDutyCycleBeforeLin","EngineLossTorque","DriverRequestedRelTorque","MassAirFlowAtThrottlePlate","MassAirFlow","EngineSpeed","","BoostPressureDesired","","","","BoostPressureActual","AdaptationIdle","EngineLoad","EngineLoadCorrected","EngineLoadSpecified","EngineLoadRequested","EGTForPartProtection","IntakeAirTemperature","EffInjectionTime","FuelInjectorOnTime","CoolantTemperature","MAFSensorVoltage","","VehicleSpeed","ThrottlePlateAngle","ThrottlePlateAngleRequested","","AvgIgnitionRetardKnockControl","CamshaftAngle","AccelPedalPosition","SupplyVoltage","","","","","IgnitionTimingAngle","IgnitionTimingAngleOverall",""
    0.000, 3.03345   , 0         , 0         , 0         , 0         , 0         , 1         , 0.99997   , 0         , 3         , 1         , 1         , 1         , 1         , 1         , 0         , 0         , 9.2       , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 6.95801   , 0         , 7.13889   , 7.30556   , 3000      , 973.828   , 960       , 0         , 213.203   , 225.625   , 1047.27   , 0         , 12.5391   , 193.406   , 206.484   , 13.5      , 760.193   , 44.25     , 0.749334  , 1.536     , 88.5      , 1.6748    , 1.49414   , 62.3438   , 4.70588   , 4.70588   , -0        , -0        , -0.265625 , 0         , 13.6899   , 36.75     , 36.75     , 36.75     , 36.75     , 9.75      , 9.75      , 9.75      
    0.050, 2.81677   , 0         , 0         , 0         , 0         , 0         , 1         , 0.99997   , 0         , 3         , 1         , 1         , 1         , 1         , 1.01489   , 0         , 0         , 9.2       , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 6.96869   , 0         , 7.25001   , 7.05556   , 3000      , 973.828   , 960       , 0         , 212.422   , 225.547   , 1053.59   , 0         , 12.4922   , 192.234   , 207.609   , 13.5      , 760.193   , 43.5      , 0.749334  , 1.536     , 88.5      , 1.65527   , 1.53809   , 62.2578   , 4.70588   , 4.70588   , -0        , -0        , -0.25     , 0         , 13.4673   , 36.75     , 36.75     , 36.75     , 36.75     , 7.5       , 7.5       , 7.5       
    0.100, 2.62757   , 0         , 0         , 0         , 0         , 0         , 1         , 0.99997   , 0         , 3         , 1         , 1         , 1         , 1         , 1.02002   , 0         , 0         , 9.2       , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 6.95344   , 0         , 7.13889   , 7.33334   , 2960      , 973.906   , 960       , 0.078125  , 212.422   , 225.703   , 1047.27   , 0         , 12.4688   , 193.547   , 207.516   , 13.5      , 760.193   , 43.5      , 0.749334  , 1.536     , 88.5      , 1.63086   , 1.55273   , 62.2656   , 4.70588   , 4.70588   , -0        , -0        , -0.296875 , 0         , 13.356    , 35.25     , 35.25     , 35.25     , 35.25     , 6         , 6         , 6         
    0.150, 2.45362   , 0         , 0         , 0         , 0         , 0         , 1         , 0.99997   , 0         , 3         , 1         , 1         , 1         , 1         , 1.02783   , 0         , 0         , 9.2       , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 6.93818   , 0         , 7.11112   , 7.25001   , 2960      , 973.906   , 960       , 0         , 212.656   , 225.625   , 1040.86   , 0         , 12.4922   , 193.289   , 206.672   , 13.5      , 764.432   , 44.25     , 0.749334  , 1.54934   , 88.5      , 1.64062   , 1.57226   , 62.2578   , 4.70588   , 4.70588   , -0        , -0        , 0.25      , 0         , 13.4673   , 36        , 36        , 36        , 36        , 5.25      , 5.25      , 5.25      
    0.200, 2.3346    , 0         , 0         , 0         , 0         , 0         , 1         , 0.99997   , 0         , 3         , 1         , 1         , 1         , 1         , 1.03589   , 0         , 0         , 9.2       , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 6.93512   , 0         , 7.25001   , 7.41667   , 2960      , 973.75    , 960       , 0         , 213.359   , 225.625   , 1043.98   , 0         , 12.5625   , 192.188   , 206.297   , 13.5      , 764.432   , 44.25     , 0.749334  , 1.54934   , 88.5      , 1.64551   , 1.5918    , 62.1719   , 4.70588   , 4.70588   , -0        , -0        , -0.265625 , 0         , 13.5786   , 36        , 36        , 36        , 36        , 3.75      , 3.75      , 3.75      
    0.250, 2.2522    , 0         , 0         , 0         , 0         , 0         , 1         , 0.99997   , 0         , 3         , 1         , 1         , 1         , 1         , 1.03784   , 0         , 0         , 9.2       , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 6.9397    , 0         , 7.16667   , 7.33334   , 2960      , 973.75    , 960       , 0         , 213.438   , 225.625   , 1044.06   , 0         , 12.5625   , 192.164   , 206.531   , 13.5      , 764.432   , 43.5      , 0.749334  , 1.536     , 88.5      , 1.64062   , 1.59668   , 62.0859   , 4.70588   , 4.70588   , -0        , -0        , -0.203125 , 0         , 13.4673   , 36        , 36        , 36        , 36        , 3         , 3         , 3         
    0.300, 2.18506   , 0         , 0         , 0         , 0         , 0         , 1         , 0.99997   , 0         , 3         , 1         , 1         , 1         , 1         , 1.05664   , 0         , 0         , 9.2       , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 6.93665   , 0         , 7.25001   , 7.77778   , 2960      , 973.75    , 960       , 0         , 213.828   , 225.625   , 1044.06   , 0         , 12.5859   , 192.188   , 206.695   , 13.5      , 764.432   , 43.5      , 0.749334  , 1.536     , 88.5      , 1.66992   , 1.64062   , 62.0313   , 4.70588   , 4.70588   , -0        , -0        , -0.171875 , 0         , 13.5786   , 35.25     , 35.25     , 35.25     , 35.25     , 2.25      , 2.25      , 2.25      
    0.350, 2.19116   , 0         , 0         , 0         , 0         , 0         , 1         , 0.99997   , 0         , 3         , 1         , 1         , 1         , 1         , 1.06543   , 0         , 0         , 9.2       , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 6.91987   , 0         , 7.25001   , 7.22223   , 2960      , 973.75    , 960       , 0         , 214.531   , 225.625   , 1044.06   , 0         , 12.6328   , 192.164   , 206.063   , 13.5      , 771.092   , 45        , 0.749334  , 1.536     , 88.5      , 1.66504   , 1.66016   , 61.9688   , 4.70588   , 4.70588   , -0        , -0        , 0         , 0         , 13.6899   , 36        , 36        , 36        , 36        , 2.25      , 2.25      , 2.25      
