
###################################################################################
Logfile created by ME7-Logger v1.20 (c) mki, 12/2010-07/2013

Used EcuDefinition file: 5120 032lp.ecu

ECU identified with following data:
HWNumber    = 0261207955       (requested was 0261207955)
SWNumber    = 1037366194       (requested was 1037366194)
PartNumber  = 06A906032LP      (requested was 06A906032LP)
SWVersion   = 0005             (requested was 0005)
EngineId    = 1.8L R4/5VT      (requested was 1.8L R4/5VT)
VAGHWNumber = 
ModelId     = G

Log packet size: 102 bytes
Logging with:    20 samples/second
Used speed is:   125000 baud
Used mode is:    HM0
Log started at:  16.07.2017 20:43:04.518

TimeStamp, mifa_w    , dmllri_w  , dwkrz_0   , dwkrz_1   , dwkrz_2   , dwkrz_3   , fr_w      , fra_w     , fzabgs_w  , gangi     , lambts_w  , lamfa_w   , lamfaw_w  , lamsbg_w  , lamsoni_w , lde       , ldimn_w   , ldimx_w   , ldimxa_0  , ldimxa_1  , ldimxa_2  , ldimxa_3  , ldimxa_4  , ldtvm     , ldtvr_w   , mdverl_w  , mrfa_w    , msdk_w    , mshfm_w   , nmot      , plgrus_w  , plsol     , plsolr_w  , ps_w      , pssol_w   , pvdks_w   , rkat_w    , rl_w      , rlmax_w   , rlmx_w    , rlsol_w   , tabgbts_w , tanslin   , te_w      , ti_b1     , tmot      , uhfm_w    , usvkk_w   , vfil_w    , wdkba     , wdks      , wkra_0    , wkrm      , wnwi_w    , wped      , wubr      , zwbasar_0 , zwbasar_1 , zwbasar_2 , zwbasar_3 , zwist     , zwout     , zwsol     
  sec.ms , , , °KW       , °KW       , °KW       , °KW       , -         , -         , #         , gear      , -         , -         , -         , -         , -         , mBar      , , , , , , , , , , , , g/s       , g/s       , rpm       , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , , , , , , °C        , °C        , ms        , ms        , °C        , V         , V         , km/h      , DK      , DK      , °KW       , °KW       , °KW       , PED     , V         , °KW       , °KW       , °KW       , °KW       , °KW       , °KW       , °KW       
"TIME","trq-TorqueDesired","IdleSpeedPID-I","IgnitionRetardCyl1","IgnitionRetardCyl4","IgnitionRetardCyl2","IgnitionRetardCyl3","LambdaControl","AdaptationPartial","CountMisfireTotal","SelectedGear","LambdaPartProtection","TargetAFRDriverRequest","","AirFuelRatioDesired","AirFuelRatioCurrent","","BoostPID-I-Min","BoostPID-I-Max","BoostCorrectFactorPID-IRange1","BoostCorrectFactorPID-IRange2","BoostCorrectFactorPID-IRange3","BoostCorrectFactorPID-IRange4","BoostCorrectFactorPID-IRange5","WastegateDutyCycle","WastegateDutyCycleBeforeLin","EngineLossTorque","DriverRequestedRelTorque","MassAirFlowAtThrottlePlate","MassAirFlow","EngineSpeed","","BoostPressureDesired","","","","BoostPressureActual","AdaptationIdle","EngineLoad","EngineLoadCorrected","EngineLoadSpecified","EngineLoadRequested","EGTForPartProtection","IntakeAirTemperature","EffInjectionTime","FuelInjectorOnTime","CoolantTemperature","MAFSensorVoltage","","VehicleSpeed","ThrottlePlateAngle","ThrottlePlateAngleRequested","","AvgIgnitionRetardKnockControl","CamshaftAngle","AccelPedalPosition","SupplyVoltage","","","","","IgnitionTimingAngle","IgnitionTimingAngleOverall",""
    0.000, 18.5272   , 0.158692  , 0         , 0         , 0         , 0         , 1         , 0.99997   , 0         , 1         , 1         , 1         , 1         , 1         , 0.998537  , 0         , 0         , 89.035    , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 6.52924   , 32.1991   , 7.75001   , 7.08334   , 1040      , 972.734   , 960       , 0         , 530.781   , 573.984   , 1008.67   , 0         , 35.8594   , 100.734   , 100.758   , 39.1406   , 577.088   , 38.25     , 2.224     , 2.97067   , 84.75     , 1.63086   , 1.48926   , 6.67969   , 4.31373   , 4.31373   , -0        , -0        , 0.234375  , 14.1177   , 13.8012   , 14.25     , 14.25     , 14.25     , 14.25     , 14.25     , 14.25     , 14.25     
    0.050, 18.6707   , 0.158692  , 0         , 0         , 0         , 0         , 1         , 0.99997   , 0         , 1         , 1         , 1         , 1         , 1         , 0.998537  , 0         , 0         , 92.05     , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 6.52314   , 32.605    , 7.75001   , 6.97223   , 1000      , 972.656   , 960       , 0         , 539.766   , 578.906   , 1011.88   , 0         , 36.5156   , 100.641   , 100.523   , 39.4922   , 577.088   , 38.25     , 2.264     , 3.01067   , 84.75     , 1.66504   , 1.48926   , 6.77344   , 4.31373   , 4.31373   , -0        , -0        , 0.0625    , 14.1177   , 13.9125   , 13.5      , 13.5      , 13.5      , 13.5      , 13.5      , 13.5      , 13.5      
    0.100, 18.7683   , 0.158692  , 0         , 0         , 0         , 0         , 1         , 0.99997   , 0         , 1         , 1         , 1         , 1         , 1         , 0.997316  , 0         , 0         , 95.82     , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 6.50788   , 32.9712   , 7.75001   , 7.02778   , 1000      , 972.656   , 960       , 0         , 547.969   , 582.656   , 1011.8    , 0         , 37.125    , 100.406   , 100.266   , 39.75     , 576.327   , 39        , 2.27734   , 3.03734   , 84.75     , 1.56738   , 1.48437   , 6.90625   , 4.31373   , 4.31373   , -0        , -0        , 0.0625    , 14.1177   , 13.6899   , 13.5      , 13.5      , 13.5      , 13.5      , 13.5      , 13.5      , 13.5      
    0.150, 18.9179   , 0.158692  , 0         , 0         , 0         , 0         , 1         , 0.99997   , 0         , 1         , 1         , 1         , 1         , 1         , 0.997316  , 0         , 0         , 99.195    , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 6.52161   , 33.2947   , 7.80556   , 6.97223   , 1000      , 972.5     , 960       , 0         , 542.969   , 587.969   , 1015      , 0         , 36.6797   , 100.172   , 100.078   , 40.125    , 576.327   , 39        , 2.14667   , 2.90667   , 84.75     , 1.56738   , 1.48437   , 7         , 4.31373   , 4.31373   , -0        , -0        , -0.171875 , 14.1177   , 14.0238   , 14.25     , 14.25     , 14.25     , 14.25     , 14.25     , 14.25     , 14.25     
    0.200, 18.9484   , 0.158692  , 0         , 0         , 0         , 0         , 1         , 0.99997   , 0         , 1         , 1         , 1         , 1         , 1         , 0.997316  , 0         , 0         , 100       , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 6.53534   , 33.4992   , 7.80556   , 6.97223   , 1000      , 972.5     , 960       , 0.15625   , 541.094   , 589.531   , 1008.67   , 0         , 36.5391   , 100.008   , 99.9141   , 40.2188   , 576.327   , 39        , 2.14934   , 2.90934   , 84.75     , 1.6748    , 1.48437   , 7.16406   , 4.31373   , 4.31373   , -0        , -0        , 0         , 14.1177   , 13.9125   , 14.25     , 14.25     , 14.25     , 14.25     , 14.25     , 14.25     , 14.25     
    0.250, 19.0247   , 0.158692  , 0         , 0         , 0         , 0         , 1         , 0.99997   , 0         , 1         , 1         , 1         , 1         , 1         , 0.996095  , 0         , 0         , 100       , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 6.53382   , 33.7036   , 7.83334   , 7.13889   , 1000      , 972.656   , 960       , 0         , 543.516   , 589.766   , 1015      , 0         , 36.7031   , 99.8438   , 99.7969   , 40.2188   , 576.327   , 39        , 2.17067   , 2.93067   , 84.75     , 1.60156   , 1.47949   , 7.25781   , 4.31373   , 4.31373   , -0        , -0        , 0.046875  , 14.1177   , 13.9125   , 14.25     , 14.25     , 14.25     , 14.25     , 14.25     , 14.25     , 14.25     
    0.300, 19.0643   , 0.158692  , 0         , 0         , 0         , 0         , 1         , 0.99997   , 0         , 1         , 1         , 1         , 1         , 1         , 0.997316  , 0         , 0         , 100       , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 6.5384    , 33.8257   , 7.86112   , 7.08334   , 1000      , 972.656   , 960       , 0         , 542.266   , 591.094   , 1015      , 0         , 36.6094   , 99.75     , 99.6563   , 40.3125   , 574.159   , 39        , 2.16      , 2.90667   , 84.75     , 1.53809   , 1.48437   , 7.45313   , 4.31373   , 4.31373   , -0        , -0        , -0.203125 , 14.1177   , 14.0238   , 14.25     , 14.25     , 14.25     , 14.25     , 14.25     , 14.25     , 14.25     
    0.350, 19.0888   , 0.158692  , 0         , 0         , 0         , 0         , 1         , 0.99997   , 0         , 1         , 1         , 1         , 1         , 1         , 0.996095  , 0         , 0         , 100       , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 6.5384    , 33.9478   , 7.80556   , 7.13889   , 1000      , 972.5     , 960       , 0         , 544.766   , 592.344   , 1011.8    , 0         , 36.7734   , 99.6094   , 99.6328   , 40.3828   , 574.159   , 39        , 2.192     , 2.93867   , 84.75     , 1.66016   , 1.47949   , 7.5625    , 4.31373   , 4.31373   , -0        , -0        , 0.09375   , 14.1177   , 13.9125   , 14.25     , 14.25     , 14.25     , 14.25     , 14.25     , 14.25     , 14.25     
