
###################################################################################
Logfile created by ME7-Logger v1.20 (c) mki, 12/2010-07/2013

Used EcuDefinition file: 5120 032lp.ecu

ECU identified with following data:
HWNumber    = 0261207955       (requested was 0261207955)
SWNumber    = 1037366194       (requested was 1037366194)
PartNumber  = 06A906032LP      (requested was 06A906032LP)
SWVersion   = 0005             (requested was 0005)
EngineId    = 1.8L R4/5VT      (requested was 1.8L R4/5VT)
VAGHWNumber = 
ModelId     = G

Log packet size: 102 bytes
Logging with:    20 samples/second
Used speed is:   125000 baud
Used mode is:    HM0
Log started at:  17.07.2017 17:18:02.490

TimeStamp, mifa_w    , dmllri_w  , dwkrz_0   , dwkrz_1   , dwkrz_2   , dwkrz_3   , fr_w      , fra_w     , fzabgs_w  , gangi     , lambts_w  , lamfa_w   , lamfaw_w  , lamsbg_w  , lamsoni_w , lde       , ldimn_w   , ldimx_w   , ldimxa_0  , ldimxa_1  , ldimxa_2  , ldimxa_3  , ldimxa_4  , ldtvm     , ldtvr_w   , mdverl_w  , mrfa_w    , msdk_w    , mshfm_w   , nmot      , plgrus_w  , plsol     , plsolr_w  , ps_w      , pssol_w   , pvdks_w   , rkat_w    , rl_w      , rlmax_w   , rlmx_w    , rlsol_w   , tabgbts_w , tanslin   , te_w      , ti_b1     , tmot      , uhfm_w    , usvkk_w   , vfil_w    , wdkba     , wdks      , wkra_0    , wkrm      , wnwi_w    , wped      , wubr      , zwbasar_0 , zwbasar_1 , zwbasar_2 , zwbasar_3 , zwist     , zwout     , zwsol     
  sec.ms , , , °KW       , °KW       , °KW       , °KW       , -         , -         , #         , gear      , -         , -         , -         , -         , -         , mBar      , , , , , , , , , , , , g/s       , g/s       , rpm       , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , , , , , , °C        , °C        , ms        , ms        , °C        , V         , V         , km/h      , DK      , DK      , °KW       , °KW       , °KW       , PED     , V         , °KW       , °KW       , °KW       , °KW       , °KW       , °KW       , °KW       
"TIME","trq-TorqueDesired","IdleSpeedPID-I","IgnitionRetardCyl1","IgnitionRetardCyl4","IgnitionRetardCyl2","IgnitionRetardCyl3","LambdaControl","AdaptationPartial","CountMisfireTotal","SelectedGear","LambdaPartProtection","TargetAFRDriverRequest","","AirFuelRatioDesired","AirFuelRatioCurrent","","BoostPID-I-Min","BoostPID-I-Max","BoostCorrectFactorPID-IRange1","BoostCorrectFactorPID-IRange2","BoostCorrectFactorPID-IRange3","BoostCorrectFactorPID-IRange4","BoostCorrectFactorPID-IRange5","WastegateDutyCycle","WastegateDutyCycleBeforeLin","EngineLossTorque","DriverRequestedRelTorque","MassAirFlowAtThrottlePlate","MassAirFlow","EngineSpeed","","BoostPressureDesired","","","","BoostPressureActual","AdaptationIdle","EngineLoad","EngineLoadCorrected","EngineLoadSpecified","EngineLoadRequested","EGTForPartProtection","IntakeAirTemperature","EffInjectionTime","FuelInjectorOnTime","CoolantTemperature","MAFSensorVoltage","","VehicleSpeed","ThrottlePlateAngle","ThrottlePlateAngleRequested","","AvgIgnitionRetardKnockControl","CamshaftAngle","AccelPedalPosition","SupplyVoltage","","","","","IgnitionTimingAngle","IgnitionTimingAngleOverall",""
    0.000, 43.5273   , 0         , 0         , 0         , 0         , 0         , 0.987916  , 0.99997   , 0         , 2         , 1.20191   , 1         , 1         , 1         , 0.997316  , 80        , 0         , 9.2       , 0         , 0         , 0         , 0         , 0         , 0         , 26.2      , 6.11115   , 59.8084   , 32.6667   , 28.6111   , 2120      , 970.156   , 1260      , 288.828   , 958.359   , 1199.84   , 1098.67   , 0         , 68.1797   , 157.992   , 162.234   , 86.25     , 738.084   , 45.75     , 4.03467   , 4.79467   , 84        , 2.6123    , 1.48437   , 29.4219   , 22.7451   , 23.1373   , -0        , -0        , -0.1875   , 42.7451   , 13.6899   , 18.75     , 18.75     , 18.75     , 18.75     , 18.75     , 18.75     , 18.75     
    0.050, 43.158    , 0         , 0         , 0         , 0         , 0         , 0.990845  , 0.99997   , 0         , 2         , 1.20191   , 1         , 1         , 1         , 1.00342   , 80        , 0         , 9.2       , 0         , 0         , 0         , 0         , 0         , 0         , 26.4      , 6.11878   , 58.7647   , 35.4723   , 29.6945   , 2160      , 970.156   , 1240      , 288.125   , 965.547   , 1189.38   , 1098.67   , 0         , 68.8359   , 159.703   , 163.875   , 85.4766   , 738.084   , 45.75     , 4.02134   , 4.78134   , 84        , 2.63183   , 1.50391   , 29.7422   , 23.9216   , 23.5294   , -0        , -0        , -0.140625 , 42.353    , 13.8012   , 18.75     , 18.75     , 18.75     , 18.75     , 18.75     , 18.75     , 18.75     
    0.100, 43.515    , 0         , 0         , 0         , 0         , 0         , 0.973969  , 0.99997   , 0         , 2         , 1.2168    , 1         , 1         , 1         , 1.00659   , 70        , 0         , 9.2       , 0         , 0         , 0         , 0         , 0         , 0         , 21.925    , 6.11268   , 58.6579   , 34.8611   , 29.8334   , 2160      , 970.156   , 1260      , 292.188   , 975.859   , 1199.22   , 1105.08   , 0         , 69.6094   , 161.273   , 164.625   , 86.2031   , 738.572   , 45        , 4.03734   , 4.79734   , 84.75     , 2.63183   , 1.51367   , 29.9688   , 23.9216   , 23.5294   , -0        , -0        , -0.046875 , 42.353    , 13.2447   , 18        , 18        , 18        , 18        , 18        , 18        , 18.75     
    0.150, 43.7622   , 0         , 0         , 0         , 0         , 0         , 0.980622  , 0.99997   , 0         , 2         , 1.2168    , 1         , 1         , 1         , 1.01319   , 80        , 0         , 9.2       , 0         , 0         , 0         , 0         , 0         , 0         , 30.04     , 6.11268   , 58.4839   , 34.8334   , 30.3056   , 2160      , 970.156   , 1260      , 296.484   , 981.328   , 1212.03   , 1108.36   , 0         , 70.0313   , 162.07    , 165.328   , 87.1641   , 738.572   , 45        , 4.09601   , 4.85601   , 84.75     , 2.66113   , 1.5332    , 30.2734   , 23.9216   , 23.9216   , -0        , -0        , -0.265625 , 42.353    , 13.8012   , 18        , 18        , 18        , 18        , 18        , 18        , 19.5      
    0.200, 43.7928   , 0         , 0         , 0         , 0         , 0         , 0.985841  , 0.99997   , 0         , 2         , 1.2273    , 1         , 1         , 1         , 1.01831   , 80        , 0         , 9.2       , 0         , 0         , 0         , 0         , 0         , 0         , 28.105    , 6.12488   , 58.2215   , 35        , 31.1111   , 2200      , 970.156   , 1260      , 300       , 987.5     , 1212.58   , 1114.77   , 0         , 70.4766   , 162.844   , 167.695   , 87.2109   , 738.572   , 45        , 4.17601   , 4.94934   , 84.75     , 2.66601   , 1.54785   , 30.5078   , 23.9216   , 24.3137   , -0        , -0        , -0.125    , 42.353    , 13.6899   , 18        , 18        , 18        , 18        , 18        , 18        , 17.25     
    0.250, 43.7592   , 0         , 0         , 0         , 0         , 0         , 0.990235  , 0.99997   , 0         , 2         , 1.2273    , 1         , 1         , 1         , 1.02588   , 70        , 0         , 9.2       , 0         , 0         , 0         , 0         , 0         , 0         , 23.335    , 6.08063   , 57.8949   , 36.2778   , 31.1111   , 2240      , 970.156   , 1260      , 300.625   , 990.313   , 1211.25   , 1118.05   , 0         , 70.6641   , 165.117   , 170.016   , 87.1172   , 738.572   , 45        , 4.16534   , 4.93867   , 84.75     , 2.67578   , 1.56738   , 30.8594   , 24.3137   , 24.3137   , -0        , -0        , -0.203125 , 42.353    , 13.5786   , 18.75     , 18.75     , 18.75     , 18.75     , 18.75     , 18.75     , 17.25     
    0.300, 44.1559   , 0         , 0         , 0         , 0         , 0         , 0.993897  , 0.99997   , 0         , 2         , 1.2356    , 1         , 1         , 1         , 1.02783   , 70        , 0         , 9.2       , 0         , 0         , 0         , 0         , 0         , 0         , 26.34     , 6.08826   , 57.7637   , 37.0278   , 31.6667   , 2240      , 970.156   , 1260      , 294.531   , 992.578   , 1215.86   , 1124.45   , 0         , 70.8281   , 167.344   , 171.352   , 87.4688   , 739.49    , 45        , 4.19201   , 4.99201   , 84.75     , 2.69043   , 1.57226   , 31.0859   , 24.3137   , 24.3137   , -0        , -0        , -0.265625 , 42.353    , 13.356    , 18.75     , 18.75     , 18.75     , 18.75     , 18.75     , 18.75     , 19.5      
    0.350, 44.6656   , 0         , 0         , 0         , 0         , 0         , 0.99759   , 0.99997   , 0         , 2         , 1.2356    , 1         , 1         , 1         , 1.02393   , 80        , 0         , 9.2       , 0         , 0         , 0         , 0         , 0         , 0         , 32.07     , 6.08521   , 57.7271   , 38.25     , 32.3056   , 2240      , 970.156   , 1280      , 310       , 997.734   , 1229.77   , 1134.06   , 0         , 71.2266   , 168.398   , 171.352   , 88.5      , 739.49    , 45        , 4.21867   , 5.01867   , 84.75     , 2.72949   , 1.5625    , 31.4375   , 24.3137   , 24.3137   , -0        , -0        , -0.0625   , 42.353    , 13.8012   , 18.75     , 18.75     , 18.75     , 18.75     , 18.75     , 18.75     , 19.5      
