
###################################################################################
Logfile created by ME7-Logger v1.20 (c) mki, 12/2010-07/2013

Used EcuDefinition file: 5120 032lp.ecu

ECU identified with following data:
HWNumber    = 0261207955       (requested was 0261207955)
SWNumber    = 1037366194       (requested was 1037366194)
PartNumber  = 06A906032LP      (requested was 06A906032LP)
SWVersion   = 0005             (requested was 0005)
EngineId    = 1.8L R4/5VT      (requested was 1.8L R4/5VT)
VAGHWNumber = 
ModelId     = G

Log packet size: 102 bytes
Logging with:    20 samples/second
Used speed is:   125000 baud
Used mode is:    HM0
Log started at:  16.07.2017 21:06:50.402

TimeStamp, mifa_w    , dmllri_w  , dwkrz_0   , dwkrz_1   , dwkrz_2   , dwkrz_3   , fr_w      , fra_w     , fzabgs_w  , gangi     , lambts_w  , lamfa_w   , lamfaw_w  , lamsbg_w  , lamsoni_w , lde       , ldimn_w   , ldimx_w   , ldimxa_0  , ldimxa_1  , ldimxa_2  , ldimxa_3  , ldimxa_4  , ldtvm     , ldtvr_w   , mdverl_w  , mrfa_w    , msdk_w    , mshfm_w   , nmot      , plgrus_w  , plsol     , plsolr_w  , ps_w      , pssol_w   , pvdks_w   , rkat_w    , rl_w      , rlmax_w   , rlmx_w    , rlsol_w   , tabgbts_w , tanslin   , te_w      , ti_b1     , tmot      , uhfm_w    , usvkk_w   , vfil_w    , wdkba     , wdks      , wkra_0    , wkrm      , wnwi_w    , wped      , wubr      , zwbasar_0 , zwbasar_1 , zwbasar_2 , zwbasar_3 , zwist     , zwout     , zwsol     
  sec.ms , , , °KW       , °KW       , °KW       , °KW       , -         , -         , #         , gear      , -         , -         , -         , -         , -         , mBar      , , , , , , , , , , , , g/s       , g/s       , rpm       , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , , , , , , °C        , °C        , ms        , ms        , °C        , V         , V         , km/h      , DK      , DK      , °KW       , °KW       , °KW       , PED     , V         , °KW       , °KW       , °KW       , °KW       , °KW       , °KW       , °KW       
"TIME","trq-TorqueDesired","IdleSpeedPID-I","IgnitionRetardCyl1","IgnitionRetardCyl4","IgnitionRetardCyl2","IgnitionRetardCyl3","LambdaControl","AdaptationPartial","CountMisfireTotal","SelectedGear","LambdaPartProtection","TargetAFRDriverRequest","","AirFuelRatioDesired","AirFuelRatioCurrent","","BoostPID-I-Min","BoostPID-I-Max","BoostCorrectFactorPID-IRange1","BoostCorrectFactorPID-IRange2","BoostCorrectFactorPID-IRange3","BoostCorrectFactorPID-IRange4","BoostCorrectFactorPID-IRange5","WastegateDutyCycle","WastegateDutyCycleBeforeLin","EngineLossTorque","DriverRequestedRelTorque","MassAirFlowAtThrottlePlate","MassAirFlow","EngineSpeed","","BoostPressureDesired","","","","BoostPressureActual","AdaptationIdle","EngineLoad","EngineLoadCorrected","EngineLoadSpecified","EngineLoadRequested","EGTForPartProtection","IntakeAirTemperature","EffInjectionTime","FuelInjectorOnTime","CoolantTemperature","MAFSensorVoltage","","VehicleSpeed","ThrottlePlateAngle","ThrottlePlateAngleRequested","","AvgIgnitionRetardKnockControl","CamshaftAngle","AccelPedalPosition","SupplyVoltage","","","","","IgnitionTimingAngle","IgnitionTimingAngleOverall",""
    0.000, 31.0242   , 0         , 0         , 0         , 0         , 0         , 1         , 0.99997   , 0         , 3         , 1.06201   , 1         , 1         , 1         , 0.966066  , 0         , 0         , 8.56      , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 5.90973   , 38.1104   , 28.7222   , 29.8611   , 2480      , 971.563   , 960       , 0         , 839.688   , 848.047   , 1111.56   , 0         , 60.2109   , 180.656   , 187.781   , 60.8672   , 802.986   , 39        , 3.61334   , 4.38667   , 87        , 2.60742   , 1.3623    , 51.2891   , 18.8235   , 18.8235   , -0        , -0        , -0.140625 , 33.3333   , 13.8012   , 24        , 24        , 24        , 24        , 24        , 24        , 27.75     
    0.050, 31.25     , 0         , 0         , 0         , 0         , 0         , 0.978455  , 0.99997   , 0         , 3         , 1.06201   , 1         , 1         , 1         , 0.968507  , 0         , 0         , 8.56      , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 5.93415   , 38.0402   , 28.6945   , 29.9445   , 2520      , 971.719   , 960       , 0.15625   , 839.297   , 853.047   , 1114.84   , 0         , 60.1875   , 178.5     , 188.813   , 61.2422   , 802.986   , 39        , 3.50934   , 4.28267   , 87        , 2.63183   , 1.37207   , 51.4141   , 18.8235   , 18.8235   , -0        , -0        , -0.15625  , 33.3333   , 13.8012   , 24        , 24        , 24        , 24        , 23.25     , 23.25     , 23.25     
    0.100, 31.5094   , 0         , 0         , 0         , 0         , 0         , 0.973511  , 0.99997   , 0         , 3         , 1.07886   , 1         , 1         , 1         , 0.973634  , 0         , 0         , 8.56      , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 5.93415   , 38.6475   , 28.8889   , 29.9722   , 2520      , 971.719   , 960       , 0         , 841.797   , 859.688   , 1121.25   , 0         , 60.375    , 178.477   , 189.609   , 61.7578   , 800.076   , 39.75     , 3.54667   , 4.32001   , 87        , 2.65137   , 1.3916    , 51.4844   , 18.8235   , 18.8235   , -0        , -0        , 0.046875  , 33.7255   , 13.8012   , 24.75     , 24.75     , 24.75     , 24.75     , 24.75     , 24.75     , 28.5      
    0.150, 31.5125   , 0         , 0         , 0         , 0         , 0         , 0.968598  , 0.99997   , 0         , 3         , 1.07886   , 1         , 1         , 1         , 0.977296  , 0         , 0         , 8.56      , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 5.92347   , 38.6475   , 29        , 29.8334   , 2520      , 971.641   , 960       , 0         , 842.5     , 856.094   , 1124.45   , 0         , 60.4219   , 180.773   , 189.047   , 61.4766   , 800.076   , 39.75     , 3.55467   , 4.32801   , 87        , 2.63183   , 1.40625   , 51.6328   , 18.8235   , 18.8235   , -0        , -0        , -0.09375  , 33.7255   , 12.7995   , 24.75     , 24.75     , 24.75     , 24.75     , 24.75     , 24.75     , 28.5      
    0.200, 32.2479   , 0         , 0         , 0         , 0         , 0         , 0.965638  , 0.99997   , 0         , 3         , 1.09424   , 1         , 1         , 1         , 0.986085  , 0         , 0         , 8.56      , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 5.9372    , 39.1815   , 29.5556   , 30.7778   , 2520      , 971.641   , 960       , 0         , 848.75    , 874.531   , 1130.94   , 0         , 60.9141   , 180.797   , 189.469   , 62.8828   , 800.076   , 39        , 3.57067   , 4.37067   , 87        , 2.63183   , 1.44043   , 51.7344   , 18.8235   , 18.8235   , -0        , -0        , -0.109375 , 34.1177   , 13.8012   , 24.75     , 24.75     , 24.75     , 24.75     , 24.75     , 24.75     , 28.5      
    0.250, 32.2663   , 0         , 0         , 0         , 0         , 0         , 0.965852  , 0.99997   , 0         , 3         , 1.09424   , 1         , 1         , 1         , 1.00195   , 0         , 0         , 8.56      , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 5.9433    , 39.1693   , 29.6111   , 30.6389   , 2520      , 971.797   , 960       , 0.15625   , 851.641   , 874.766   , 1137.27   , 0         , 61.125    , 180.82    , 190.148   , 62.9063   , 800.076   , 39        , 3.57867   , 4.37867   , 87        , 2.64648   , 1.49902   , 51.875    , 18.8235   , 18.8235   , -0        , -0        , -0.171875 , 34.1177   , 13.8012   , 24.75     , 24.75     , 24.75     , 24.75     , 24.75     , 24.75     , 28.5      
    0.300, 32.2846   , 0         , 0         , 0         , 0         , 0         , 0.989625  , 0.99997   , 0         , 3         , 1.10816   , 1         , 1         , 1         , 1.01148   , 0         , 0         , 8.56      , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 5.94025   , 39.1693   , 30.4722   , 30.4167   , 2520      , 971.797   , 960       , 0         , 853.281   , 875.078   , 1140.55   , 0         , 61.2656   , 180.82    , 190.102   , 62.9297   , 796.873   , 39.75     , 3.60267   , 4.36267   , 87        , 2.65625   , 1.52832   , 51.9688   , 18.8235   , 19.2157   , -0        , -0        , -0.234375 , 34.1177   , 13.356    , 24.75     , 24.75     , 24.75     , 24.75     , 24.75     , 24.75     , 28.5      
    0.350, 32.2815   , 0         , 0         , 0         , 0         , 0         , 0.993165  , 0.99997   , 0         , 3         , 1.10816   , 1         , 1         , 1         , 1.01489   , 0         , 0         , 8.56      , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 5.95398   , 39.1388   , 30.5278   , 31.2222   , 2560      , 971.953   , 960       , 0.15625   , 859.844   , 874.297   , 1143.75   , 0         , 61.7578   , 180.844   , 190.57    , 62.8828   , 796.873   , 39.75     , 3.712     , 4.47201   , 87        , 2.66113   , 1.53809   , 52.1094   , 19.2157   , 19.2157   , -0        , -0        , -0.03125  , 34.1177   , 13.8012   , 24.75     , 24.75     , 24.75     , 24.75     , 24.75     , 24.75     , 28.5      
