
###################################################################################
Logfile created by ME7-Logger v1.20 (c) mki, 12/2010-07/2013

Used EcuDefinition file: 5120 032lp.ecu

ECU identified with following data:
HWNumber    = 0261207955       (requested was 0261207955)
SWNumber    = 1037366194       (requested was 1037366194)
PartNumber  = 06A906032LP      (requested was 06A906032LP)
SWVersion   = 0005             (requested was 0005)
EngineId    = 1.8L R4/5VT      (requested was 1.8L R4/5VT)
VAGHWNumber = 
ModelId     = G

Log packet size: 102 bytes
Logging with:    20 samples/second
Used speed is:   125000 baud
Used mode is:    HM0
Log started at:  16.07.2017 20:50:34.836

TimeStamp, mifa_w    , dmllri_w  , dwkrz_0   , dwkrz_1   , dwkrz_2   , dwkrz_3   , fr_w      , fra_w     , fzabgs_w  , gangi     , lambts_w  , lamfa_w   , lamfaw_w  , lamsbg_w  , lamsoni_w , lde       , ldimn_w   , ldimx_w   , ldimxa_0  , ldimxa_1  , ldimxa_2  , ldimxa_3  , ldimxa_4  , ldtvm     , ldtvr_w   , mdverl_w  , mrfa_w    , msdk_w    , mshfm_w   , nmot      , plgrus_w  , plsol     , plsolr_w  , ps_w      , pssol_w   , pvdks_w   , rkat_w    , rl_w      , rlmax_w   , rlmx_w    , rlsol_w   , tabgbts_w , tanslin   , te_w      , ti_b1     , tmot      , uhfm_w    , usvkk_w   , vfil_w    , wdkba     , wdks      , wkra_0    , wkrm      , wnwi_w    , wped      , wubr      , zwbasar_0 , zwbasar_1 , zwbasar_2 , zwbasar_3 , zwist     , zwout     , zwsol     
  sec.ms , , , °KW       , °KW       , °KW       , °KW       , -         , -         , #         , gear      , -         , -         , -         , -         , -         , mBar      , , , , , , , , , , , , g/s       , g/s       , rpm       , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , , , , , , °C        , °C        , ms        , ms        , °C        , V         , V         , km/h      , DK      , DK      , °KW       , °KW       , °KW       , PED     , V         , °KW       , °KW       , °KW       , °KW       , °KW       , °KW       , °KW       
"TIME","trq-TorqueDesired","IdleSpeedPID-I","IgnitionRetardCyl1","IgnitionRetardCyl4","IgnitionRetardCyl2","IgnitionRetardCyl3","LambdaControl","AdaptationPartial","CountMisfireTotal","SelectedGear","LambdaPartProtection","TargetAFRDriverRequest","","AirFuelRatioDesired","AirFuelRatioCurrent","","BoostPID-I-Min","BoostPID-I-Max","BoostCorrectFactorPID-IRange1","BoostCorrectFactorPID-IRange2","BoostCorrectFactorPID-IRange3","BoostCorrectFactorPID-IRange4","BoostCorrectFactorPID-IRange5","WastegateDutyCycle","WastegateDutyCycleBeforeLin","EngineLossTorque","DriverRequestedRelTorque","MassAirFlowAtThrottlePlate","MassAirFlow","EngineSpeed","","BoostPressureDesired","","","","BoostPressureActual","AdaptationIdle","EngineLoad","EngineLoadCorrected","EngineLoadSpecified","EngineLoadRequested","EGTForPartProtection","IntakeAirTemperature","EffInjectionTime","FuelInjectorOnTime","CoolantTemperature","MAFSensorVoltage","","VehicleSpeed","ThrottlePlateAngle","ThrottlePlateAngleRequested","","AvgIgnitionRetardKnockControl","CamshaftAngle","AccelPedalPosition","SupplyVoltage","","","","","IgnitionTimingAngle","IgnitionTimingAngleOverall",""
    0.000, 29.9317   , 0         , 0         , 0         , 0         , 0         , 1         , 0.99997   , 0         , 2         , 1         , 1         , 1         , 1         , 0.998537  , 0         , 0         , 9.2       , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 6.04554   , 39.3402   , 19.5      , 16.6945   , 2040      , 972.891   , 960       , 0         , 380.078   , 883.438   , 1047.27   , 0         , 25.9453   , 158.93    , 157.383   , 64.0313   , 656.424   , 40.5      , 2.61334   , 3.41334   , 89.25     , 2.26562   , 1.48926   , 26.4844   , 12.1569   , 15.2941   , -0        , -0        , -0.03125  , 32.1569   , 13.8012   , 19.5      , 19.5      , 19.5      , 19.5      , 19.5      , 19.5      , 19.5      
    0.050, 31.9733   , 0         , 0         , 0         , 0         , 0         , 1         , 0.99997   , 0         , 2         , 1         , 1         , 1         , 1         , 0.998537  , -30       , 0         , 9.205     , 0         , 0         , 0         , 0         , 0         , 0         , -1.2      , 5.78003   , 42.2577   , 25.0834   , 25.9167   , 1960      , 972.891   , 960       , 1.40625   , 532.344   , 925.625   , 1031.17   , 0         , 37.5234   , 154.781   , 152.602   , 67.2422   , 656.424   , 40.5      , 3.83734   , 4.59734   , 89.25     , 2.57812   , 1.48926   , 26.5703   , 16.8628   , 16.0784   , -0        , -0        , -0.21875  , 33.3333   , 13.6899   , 19.5      , 19.5      , 19.5      , 19.5      , 19.5      , 19.5      , 19.5      
    0.100, 32.5257   , 0         , 0         , 0         , 0         , 0         , 1         , 0.99997   , 0         , 2         , 1         , 1         , 1         , 1         , 1         , 0         , 0         , 9.46      , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 5.61829   , 43.5334   , 25.3889   , 26.3334   , 1880      , 972.969   , 960       , 0         , 731.25    , 903.516   , 1027.97   , 0         , 52.5469   , 150.633   , 145.359   , 65.6016   , 656.424   , 40.5      , 3.8       , 4.56001   , 89.25     , 2.50976   , 1.49414   , 26.6797   , 16.8628   , 16.4706   , -0        , -0        , -0.03125  , 33.3333   , 13.6899   , 18.75     , 18.75     , 18.75     , 18.75     , 18.75     , 18.75     , 18.75     
    0.150, 32.2968   , 0         , 0         , 0         , 0         , 0         , 1         , 0.99997   , 0         , 2         , 1.01953   , 1         , 1         , 1         , 1         , 0         , 0         , 9.65      , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 5.45807   , 44.5404   , 21.8889   , 24.6111   , 1840      , 972.969   , 960       , 0         , 798.203   , 880.156   , 1040.78   , 0         , 57.6094   , 142.969   , 139.664   , 63.8203   , 669.139   , 40.5      , 3.8       , 4.58667   , 89.25     , 2.4414    , 1.49414   , 26.8125   , 15.6863   , 14.902    , -0        , -0        , 0.0625    , 33.3333   , 13.5786   , 16.5      , 16.5      , 16.5      , 16.5      , 16.5      , 16.5      , 16.5      
    0.200, 31.6742   , 0         , 0         , 0         , 0         , 0         , 1         , 0.99997   , 0         , 2         , 1.01953   , 1         , 1         , 1         , 1         , 0         , 0         , 9.72      , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 5.40924   , 44.9005   , 20.1111   , 22.1667   , 1840      , 972.891   , 960       , 0         , 820.703   , 864.531   , 1056.88   , 0         , 59.2969   , 136.758   , 139.594   , 62.625    , 669.139   , 40.5      , 3.57867   , 4.36534   , 89.25     , 2.33887   , 1.49414   , 26.8359   , 14.902    , 14.902    , -0        , -0        , -0.171875 , 33.3333   , 12.7995   , 18        , 18        , 18        , 18        , 17.25     , 17.25     , 17.25     
    0.250, 32.7759   , 0         , 0         , 0         , 0         , 0         , 1         , 0.99997   , 0         , 2         , 1.03247   , 1         , 1         , 1         , 0.998537  , 0         , 0         , 9.555     , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 5.4184    , 48.9167   , 20.6389   , 21.9722   , 1880      , 972.891   , 960       , 0.078125  , 816.328   , 888.359   , 1053.67   , 0         , 58.9688   , 136.383   , 143.039   , 64.4297   , 669.139   , 40.5      , 3.592     , 4.39201   , 89.25     , 2.3291    , 1.48926   , 26.8672   , 15.2941   , 15.2941   , -0        , -0        , -0.046875 , 35.6863   , 13.8012   , 18        , 18        , 18        , 18        , 17.25     , 17.25     , 17.25     
    0.300, 38.7207   , 0         , 0         , 0         , 0         , 0         , 1         , 0.99997   , 0         , 2         , 1.03247   , 1         , 1         , 1         , 0.998537  , 20        , 0         , 9.435     , 0         , 0         , 0         , 0         , 0         , 0         , 0.8       , 5.42603   , 60.6568   , 22.0834   , 21.4722   , 1920      , 972.969   , 1100      , 133.828   , 808.75    , 1051.48   , 1060.08   , 0         , 58.4063   , 139.992   , 146.063   , 76.7813   , 669.139   , 40.5      , 3.53334   , 4.33334   , 89.25     , 2.36816   , 1.48926   , 26.9766   , 16.0784   , 18.0392   , -0        , -0        , 0.0625    , 41.9608   , 13.5786   , 18.75     , 18.75     , 18.75     , 18.75     , 18.75     , 18.75     , 19.5      
    0.350, 39.56     , 0         , 0         , 0         , 0         , 0         , 1         , 0.99997   , 0         , 2         , 1.052     , 1         , 1         , 1         , 0.997316  , 40        , 0         , 9.42      , 0         , 0         , 0         , 0         , 0         , 0         , 1.8       , 5.40314   , 62.1064   , 26.6111   , 24.9722   , 1920      , 972.813   , 1120      , 153.281   , 827.578   , 1069.92   , 1056.95   , 0         , 59.8359   , 143.156   , 146.438   , 78.1641   , 672.108   , 41.25     , 3.82667   , 4.58667   , 89.25     , 2.5       , 1.48437   , 27.1797   , 19.2157   , 18.8235   , -0        , -0        , -0.140625 , 42.7451   , 13.8012   , 18.75     , 18.75     , 18.75     , 18.75     , 18.75     , 18.75     , 19.5      
