
###################################################################################
Logfile created by ME7-Logger v1.20 (c) mki, 12/2010-07/2013

Used EcuDefinition file: 5120 032lp.ecu

ECU identified with following data:
HWNumber    = 0261207955       (requested was 0261207955)
SWNumber    = 1037366194       (requested was 1037366194)
PartNumber  = 06A906032LP      (requested was 06A906032LP)
SWVersion   = 0005             (requested was 0005)
EngineId    = 1.8L R4/5VT      (requested was 1.8L R4/5VT)
VAGHWNumber = 
ModelId     = G

Log packet size: 102 bytes
Logging with:    20 samples/second
Used speed is:   125000 baud
Used mode is:    HM0
Log started at:  17.07.2017 17:41:24.002

TimeStamp, mifa_w    , dmllri_w  , dwkrz_0   , dwkrz_1   , dwkrz_2   , dwkrz_3   , fr_w      , fra_w     , fzabgs_w  , gangi     , lambts_w  , lamfa_w   , lamfaw_w  , lamsbg_w  , lamsoni_w , lde       , ldimn_w   , ldimx_w   , ldimxa_0  , ldimxa_1  , ldimxa_2  , ldimxa_3  , ldimxa_4  , ldtvm     , ldtvr_w   , mdverl_w  , mrfa_w    , msdk_w    , mshfm_w   , nmot      , plgrus_w  , plsol     , plsolr_w  , ps_w      , pssol_w   , pvdks_w   , rkat_w    , rl_w      , rlmax_w   , rlmx_w    , rlsol_w   , tabgbts_w , tanslin   , te_w      , ti_b1     , tmot      , uhfm_w    , usvkk_w   , vfil_w    , wdkba     , wdks      , wkra_0    , wkrm      , wnwi_w    , wped      , wubr      , zwbasar_0 , zwbasar_1 , zwbasar_2 , zwbasar_3 , zwist     , zwout     , zwsol     
  sec.ms , , , °KW       , °KW       , °KW       , °KW       , -         , -         , #         , gear      , -         , -         , -         , -         , -         , mBar      , , , , , , , , , , , , g/s       , g/s       , rpm       , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , , , , , , °C        , °C        , ms        , ms        , °C        , V         , V         , km/h      , DK      , DK      , °KW       , °KW       , °KW       , PED     , V         , °KW       , °KW       , °KW       , °KW       , °KW       , °KW       , °KW       
"TIME","trq-TorqueDesired","IdleSpeedPID-I","IgnitionRetardCyl1","IgnitionRetardCyl4","IgnitionRetardCyl2","IgnitionRetardCyl3","LambdaControl","AdaptationPartial","CountMisfireTotal","SelectedGear","LambdaPartProtection","TargetAFRDriverRequest","","AirFuelRatioDesired","AirFuelRatioCurrent","","BoostPID-I-Min","BoostPID-I-Max","BoostCorrectFactorPID-IRange1","BoostCorrectFactorPID-IRange2","BoostCorrectFactorPID-IRange3","BoostCorrectFactorPID-IRange4","BoostCorrectFactorPID-IRange5","WastegateDutyCycle","WastegateDutyCycleBeforeLin","EngineLossTorque","DriverRequestedRelTorque","MassAirFlowAtThrottlePlate","MassAirFlow","EngineSpeed","","BoostPressureDesired","","","","BoostPressureActual","AdaptationIdle","EngineLoad","EngineLoadCorrected","EngineLoadSpecified","EngineLoadRequested","EGTForPartProtection","IntakeAirTemperature","EffInjectionTime","FuelInjectorOnTime","CoolantTemperature","MAFSensorVoltage","","VehicleSpeed","ThrottlePlateAngle","ThrottlePlateAngleRequested","","AvgIgnitionRetardKnockControl","CamshaftAngle","AccelPedalPosition","SupplyVoltage","","","","","IgnitionTimingAngle","IgnitionTimingAngleOverall",""
    0.000, 32.1564   , 0         , 0         , 0         , 0         , 0         , 0.984895  , 0.99997   , 0         , 2         , 1.18091   , 1         , 1         , 1         , 0.992433  , 0         , 0         , 9.2       , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 6.11878   , 38.4644   , 34        , 34.4445   , 2680      , 970.156   , 960       , 0         , 931.328   , 883.594   , 1217.66   , 0         , 66.1406   , 181.359   , 196.219   , 62.5781   , 736.56    , 47.25     , 3.808     , 4.59467   , 90        , 2.77344   , 1.46484   , 38        , 20.3922   , 20.3922   , -0        , -0        , 0.03125   , 33.7255   , 13.6899   , 24.75     , 24.75     , 24.75     , 24.75     , 24.75     , 24.75     , 23.25     
    0.050, 32.2785   , 0         , 0         , 0         , 0         , 0         , 0.983918  , 0.99997   , 0         , 2         , 1.18091   , 1         , 1         , 1         , 0.992433  , 0         , 0         , 9.2       , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 6.13251   , 38.4369   , 34.7778   , 34.5      , 2720      , 970.156   , 960       , 0         , 930.156   , 886.328   , 1220.94   , 0         , 66.0469   , 181.383   , 196.688   , 62.7891   , 736.56    , 47.25     , 3.824     , 4.61067   , 90        , 2.74414   , 1.46484   , 38.2656   , 20.3922   , 20.3922   , -0        , -0        , 0.140625  , 33.7255   , 13.6899   , 24        , 24        , 24        , 24        , 24        , 24        , 23.25     
    0.100, 32.2357   , 0         , 0         , 0         , 0         , 0         , 0.984009  , 0.99997   , 0         , 2         , 1.18164   , 1         , 1         , 1         , 0.997316  , 0         , 0         , 9.2       , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 6.17676   , 38.3637   , 33.75     , 34.3334   , 2760      , 970.156   , 960       , 0         , 921.172   , 883.984   , 1227.34   , 0         , 65.3906   , 182.531   , 197.648   , 62.625    , 736.56    , 48        , 3.76267   , 4.54934   , 90        , 2.77832   , 1.48437   , 38.5156   , 20        , 20        , -0        , -0        , -0.125    , 33.7255   , 13.5786   , 24        , 24        , 24        , 24        , 24        , 24        , 23.25     
    0.150, 31.8878   , 0         , 0         , 0         , 0         , 0         , 0.98697   , 0.99997   , 0         , 2         , 1.18164   , 1         , 1         , 1         , 1.01148   , 0         , 0         , 9.2       , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 6.2027    , 37.7228   , 34.3611   , 34.5556   , 2760      , 970.156   , 960       , 0         , 914.766   , 874.297   , 1230.55   , 0         , 64.9219   , 182.578   , 198.469   , 61.9219   , 736.56    , 48        , 3.76      , 4.54667   , 90        , 2.75879   , 1.52832   , 38.6563   , 20        , 20        , -0        , -0        , 0.296875  , 33.3333   , 13.6899   , 24.75     , 24.75     , 24.75     , 24.75     , 24.75     , 24.75     , 24        
    0.200, 31.8634   , 0         , 0         , 0         , 0         , 0         , 0.991456  , 0.99997   , 0         , 2         , 1.18213   , 1         , 1         , 1         , 1.0166    , 0         , 0         , 9.2       , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 6.22101   , 37.6923   , 34.4167   , 35.1111   , 2760      , 970.156   , 960       , 0         , 913.828   , 872.969   , 1230.63   , 0         , 64.875    , 183.727   , 198.961   , 61.8281   , 740.115   , 48        , 3.76534   , 4.56534   , 90        , 2.80762   , 1.54297   , 38.9141   , 20        , 19.6078   , -0        , -0        , -0.03125  , 33.3333   , 13.6899   , 24.75     , 24.75     , 24.75     , 24.75     , 24.75     , 24.75     , 24        
    0.250, 31.9733   , 0         , 0         , 0         , 0         , 0         , 0.996064  , 0.99997   , 0         , 2         , 1.18213   , 1         , 1         , 1         , 1.0166    , 0         , 0         , 9.2       , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 6.25306   , 37.6343   , 34.0278   , 33.9722   , 2800      , 970.156   , 960       , 0         , 900.469   , 875.078   , 1237.03   , 0         , 63.8672   , 183.773   , 199.641   , 61.9922   , 740.115   , 48        , 3.72      , 4.52001   , 90        , 2.74902   , 1.54297   , 39.0859   , 19.2157   , 19.2157   , -0        , -0        , 0.1875    , 33.3333   , 13.4673   , 26.25     , 26.25     , 26.25     , 26.25     , 26.25     , 26.25     , 24        
    0.300, 31.4697   , 0         , 0         , 0         , 0         , 0         , 1.00006   , 0.99997   , 0         , 2         , 1.17798   , 1         , 1         , 1         , 1.0166    , 0         , 0         , 9.2       , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 6.29578   , 36.9782   , 33.8611   , 35.1667   , 2800      , 970.156   , 960       , 0         , 895.391   , 856.875   , 1246.64   , 0         , 63.5156   , 184.922   , 200.461   , 60.6328   , 740.115   , 47.25     , 3.71734   , 4.50401   , 90        , 2.75879   , 1.54297   , 39.3828   , 19.2157   , 19.2157   , -0        , -0        , 0         , 33.3333   , 13.6899   , 26.25     , 26.25     , 26.25     , 26.25     , 26.25     , 26.25     , 29.25     
    0.350, 31.5766   , 0         , 0         , 0         , 0         , 0         , 1.00244   , 0.99997   , 0         , 2         , 1.17798   , 1         , 1         , 1         , 1.01148   , 0         , 0         , 9.2       , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 6.30799   , 36.9477   , 33.8889   , 34.7778   , 2840      , 970.156   , 960       , 0         , 890.859   , 859.219   , 1246.64   , 0         , 63.1875   , 184.969   , 201.258   , 60.8203   , 740.115   , 47.25     , 3.712     , 4.49867   , 90        , 2.75879   , 1.52832   , 39.5703   , 18.8235   , 18.8235   , -0        , -0        , 0.03125   , 33.3333   , 13.6899   , 26.25     , 26.25     , 26.25     , 26.25     , 26.25     , 26.25     , 30        
