
###################################################################################
Logfile created by ME7-Logger v1.20 (c) mki, 12/2010-07/2013

Used EcuDefinition file: 5120 032lp.ecu

ECU identified with following data:
HWNumber    = 0261207955       (requested was 0261207955)
SWNumber    = 1037366194       (requested was 1037366194)
PartNumber  = 06A906032LP      (requested was 06A906032LP)
SWVersion   = 0005             (requested was 0005)
EngineId    = 1.8L R4/5VT      (requested was 1.8L R4/5VT)
VAGHWNumber = 
ModelId     = G

Log packet size: 102 bytes
Logging with:    20 samples/second
Used speed is:   125000 baud
Used mode is:    HM0
Log started at:  17.07.2017 17:25:43.441

TimeStamp, mifa_w    , dmllri_w  , dwkrz_0   , dwkrz_1   , dwkrz_2   , dwkrz_3   , fr_w      , fra_w     , fzabgs_w  , gangi     , lambts_w  , lamfa_w   , lamfaw_w  , lamsbg_w  , lamsoni_w , lde       , ldimn_w   , ldimx_w   , ldimxa_0  , ldimxa_1  , ldimxa_2  , ldimxa_3  , ldimxa_4  , ldtvm     , ldtvr_w   , mdverl_w  , mrfa_w    , msdk_w    , mshfm_w   , nmot      , plgrus_w  , plsol     , plsolr_w  , ps_w      , pssol_w   , pvdks_w   , rkat_w    , rl_w      , rlmax_w   , rlmx_w    , rlsol_w   , tabgbts_w , tanslin   , te_w      , ti_b1     , tmot      , uhfm_w    , usvkk_w   , vfil_w    , wdkba     , wdks      , wkra_0    , wkrm      , wnwi_w    , wped      , wubr      , zwbasar_0 , zwbasar_1 , zwbasar_2 , zwbasar_3 , zwist     , zwout     , zwsol     
  sec.ms , , , °KW       , °KW       , °KW       , °KW       , -         , -         , #         , gear      , -         , -         , -         , -         , -         , mBar      , , , , , , , , , , , , g/s       , g/s       , rpm       , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , , , , , , °C        , °C        , ms        , ms        , °C        , V         , V         , km/h      , DK      , DK      , °KW       , °KW       , °KW       , PED     , V         , °KW       , °KW       , °KW       , °KW       , °KW       , °KW       , °KW       
"TIME","trq-TorqueDesired","IdleSpeedPID-I","IgnitionRetardCyl1","IgnitionRetardCyl4","IgnitionRetardCyl2","IgnitionRetardCyl3","LambdaControl","AdaptationPartial","CountMisfireTotal","SelectedGear","LambdaPartProtection","TargetAFRDriverRequest","","AirFuelRatioDesired","AirFuelRatioCurrent","","BoostPID-I-Min","BoostPID-I-Max","BoostCorrectFactorPID-IRange1","BoostCorrectFactorPID-IRange2","BoostCorrectFactorPID-IRange3","BoostCorrectFactorPID-IRange4","BoostCorrectFactorPID-IRange5","WastegateDutyCycle","WastegateDutyCycleBeforeLin","EngineLossTorque","DriverRequestedRelTorque","MassAirFlowAtThrottlePlate","MassAirFlow","EngineSpeed","","BoostPressureDesired","","","","BoostPressureActual","AdaptationIdle","EngineLoad","EngineLoadCorrected","EngineLoadSpecified","EngineLoadRequested","EGTForPartProtection","IntakeAirTemperature","EffInjectionTime","FuelInjectorOnTime","CoolantTemperature","MAFSensorVoltage","","VehicleSpeed","ThrottlePlateAngle","ThrottlePlateAngleRequested","","AvgIgnitionRetardKnockControl","CamshaftAngle","AccelPedalPosition","SupplyVoltage","","","","","IgnitionTimingAngle","IgnitionTimingAngleOverall",""
    0.000, 7.51648   , 0.43335   , 0         , 0         , 0         , 0         , 0.96164   , 0.99997   , 0         , 0         , 1         , 1         , 1.97657   , 1         , 0.988527  , 0         , 0         , 100       , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 6.94733   , 0         , 3.41667   , 3.30556   , 760       , 970.156   , 960       , 0         , 375.313   , 388.516   , 1011.8    , 0         , 21.5156   , 99.4453   , 99.6094   , 22.6172   , 677.986   , 53.25     , 1.224     , 2.01067   , 86.25     , 1.38184   , 1.45019   , 0         , 1.17647   , 1.17647   , -0        , -0        , -0.390625 , 0         , 13.8012   , 15        , 15        , 15        , 15        , 3         , 3         , 3         
    0.050, 7.43409   , 0.439453  , 0         , 0         , 0         , 0         , 0.961335  , 0.99997   , 0         , 0         , 1         , 1         , 1.97657   , 1         , 0.989992  , 0         , 0         , 100       , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 6.94733   , 0         , 3.41667   , 3.36111   , 760       , 970.156   , 960       , 0         , 376.719   , 383.359   , 1015      , 0         , 21.6797   , 99.4688   , 99.6094   , 22.2422   , 678.182   , 52.5      , 1.19733   , 1.984     , 86.25     , 1.25976   , 1.45508   , 0         , 1.17647   , 1.17647   , -0        , -0        , -0.3125   , 0         , 13.6899   , 15        , 15        , 15        , 15        , 2.25      , 2.25      , 2.25      
    0.100, 7.40967   , 0.439453  , 0         , 0         , 0         , 0         , 0.961274  , 0.99997   , 0         , 0         , 1         , 1         , 1.97657   , 1         , 0.992433  , 0         , 0         , 100       , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 6.94733   , 0         , 3.44445   , 3.36111   , 760       , 970.156   , 960       , 0         , 376.563   , 381.406   , 1008.67   , 0         , 21.7266   , 99.5391   , 99.6094   , 22.125    , 678.182   , 52.5      , 1.16533   , 1.952     , 86.25     , 1.27441   , 1.46484   , 0         , 1.17647   , 1.17647   , -0        , -0        , -0.234375 , 0         , 13.6899   , 15        , 15        , 15        , 15        , 1.5       , 1.5       , 1.5       
    0.150, 7.41273   , 0.439453  , 0         , 0         , 0         , 0         , 0.961488  , 0.99997   , 0         , 0         , 1         , 1         , 1.97657   , 1         , 0.996095  , 0         , 0         , 100       , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 6.94123   , 0         , 3.38889   , 3.36111   , 760       , 970.156   , 960       , 0         , 378.984   , 381.797   , 1011.8    , 0         , 21.9375   , 99.5625   , 99.6094   , 22.1719   , 678.182   , 53.25     , 1.22667   , 2.01334   , 86.25     , 1.37695   , 1.47949   , 0         , 1.17647   , 1.17647   , -0        , -0        , -0.203125 , 0         , 13.6899   , 15        , 15        , 15        , 15        , 1.5       , 1.5       , 1.5       
    0.200, 7.42798   , 0.445557  , 0         , 0         , 0         , 0         , 0.96161   , 0.99997   , 0         , 0         , 1         , 1         , 1.97657   , 1         , 0.998537  , 0         , 0         , 100       , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 6.94123   , 0         , 3.38889   , 3.30556   , 760       , 970.156   , 960       , 0         , 379.063   , 383.203   , 1015      , 0         , 21.9375   , 99.7031   , 99.6094   , 22.2422   , 678.182   , 53.25     , 1.18133   , 1.968     , 86.25     , 1.26465   , 1.48926   , 0         , 1.17647   , 1.17647   , -0        , -0        , 0         , 0         , 13.8012   , 15        , 15        , 15        , 15        , 0.75      , 0.75      , 0.75      
    0.250, 7.4524    , 0.45166   , 0         , 0         , 0         , 0         , 0.961701  , 0.99997   , 0         , 0         , 1         , 1         , 1.97657   , 1         , 1         , 0         , 0         , 100       , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 6.94275   , 0         , 3.33334   , 3.30556   , 760       , 970.156   , 960       , 0         , 378.125   , 383.984   , 1008.67   , 0         , 21.8203   , 99.5391   , 99.6094   , 22.2891   , 678.065   , 53.25     , 1.168     , 1.95467   , 86.25     , 1.25976   , 1.49414   , 0         , 1.17647   , 1.17647   , -0        , -0        , -0.03125  , 0         , 13.5786   , 15        , 15        , 15        , 15        , 1.5       , 1.5       , 1.5       
    0.300, 7.4585    , 0.463868  , 0         , 0         , 0         , 0         , 0.961426  , 0.99997   , 0         , 0         , 1         , 1         , 1.97657   , 1         , 0.998537  , 0         , 0         , 100       , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 6.9397    , 0         , 3.36111   , 3.30556   , 760       , 970.156   , 960       , 0         , 380.234   , 385.781   , 1011.8    , 0         , 21.9844   , 99.7031   , 99.6094   , 22.3828   , 678.065   , 53.25     , 1.22133   , 2.008     , 86.25     , 1.37695   , 1.48926   , 0         , 1.17647   , 1.17647   , -0        , -0        , -0.1875   , 0         , 13.5786   , 15        , 15        , 15        , 15        , 2.25      , 2.25      , 2.25      
    0.350, 7.51648   , 0.476075  , 0         , 0         , 0         , 0         , 0.962342  , 0.99997   , 0         , 0         , 1         , 1         , 1.97657   , 1         , 1.00342   , 0         , 0         , 100       , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 6.94123   , 0         , 3.33334   , 3.30556   , 760       , 970.156   , 960       , 0         , 380.547   , 388.203   , 1015      , 0         , 21.9609   , 99.4688   , 99.6094   , 22.5703   , 678.065   , 52.5      , 1.18933   , 1.976     , 86.25     , 1.26953   , 1.50391   , 0         , 1.17647   , 1.17647   , -0        , -0        , -0.140625 , 0         , 13.6899   , 15        , 15        , 15        , 15        , 2.25      , 2.25      , 2.25      
